,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,Country
400005 PC031000J,161.4,0,163.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thailand
400008 PC010125A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.44,0,58.88,64.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thailand
400008 PC010125J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,481.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thailand
400008 PC010200J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3238.4,0,140.8,0,704,704,1531.52,2166.4,3747.2,2216.32,1356.16,1634.56,1518.72,422.4,696.96,1084.16,704,526.08,1267.2,1146.24,0,1408,1408,482.56,1537.28,704,704,704,661.12,1430.4,394.88,1365.76,422.4,422.4,1383.04,1210.88,1185.92,829.44,396.8,664.96,1219.2,1340.16,1169.92,180.48,759,0,1910.61,1346.88,0,1091.165,922.53,1820.22,0,1671.18,1380.69,0,1276.5,2163.15,3512.1,1823.67,2250.09,1700.85,0,1580.87,1326.87,1842.99,905.28,1363.44,1.325,1809.87,0,908.73,919.08,2348.645,0,456.78,1817.46,0,1840.257,0,635.49,0,1271.67,335.34,1262.01,1313.07,1000,500,Thailand
400008 PC010250J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,5.76,600.96,635.52,640,1280,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857.665,322.23,313.95,1702.23,346.38,1876.787,1519.38,934.95,1887.84,0,960.956,640.32,1265.46,1582.17,1206.12,912.87,950.82,1264.77,1910.61,1640.82,6757.86,494.04,5292.34,7710.06,2262.101,4117.23,1069.576,3378.888,2000,1500,Thailand
400008 PC020500J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,162,363.9,0,0,0,0,0,0,0,0,0,220.5,171.6,129.6,145.8,562.2,0,0,0,0,0,0,0,0,0,32.4,0,216.9,402.6,0,216,240,0,0,18,89.1,104.639,0,101.25,0,12,240.819,411.928,110.7,0,0,141,107.1,0,0,0,108.505,99.3,0,32.4,74.7,104.7,0,0,0,0,0,64.8,143.4,0,32.4,177.3,220,0,Thailand
400008 PC020750J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,Thailand
400008 PC021000J,2221.8,2291.1,799.2,193.8,1787.7,1501.5,2868.6,4209,1323,965.4,2849.7,448.2,2256.9,521.7,2995.2,2596.2,2535.9,3368.7,2975.1,6325.8,1485,2189.4,1013.1,450.6,2268.9,2082.6,5859.6,2340,3036.3,1612.5,4231.2,1318.8,3620.1,1063.8,2388.6,1338.054,1294.2,0,4618.2,2290.5,3537,3685.921,1707.3,4123.2,4723.8,3830.1,2899.384,4039.5,2610.9,1708.408,2421,2217.393,3845.1,4536.224,6040.429,4070.735,3137.865,2154.6,3868.107,1681.965,5107.5,2184.586,2555.231,2941.5,3052.8,6588.057,1723.5,5613.3,2950.045,4575.356,1313.7,7738.319,241.8,1004.047,1784.7,2180.126,1101.899,1978.2,2488.975,4619.7,1625.616,2800.166,1753.5,840.266,3527.13,294.217,3903.87,2345.744,2908.8,1993.8,2804.044,3061.8,6639.6,2646.528,2929.2,2255.061,1041.3,2044.568,3863.1,2980.2,1618.714,1370.267,2132.619,3431.272,2268.172,2199.3,3174.6,3311.782,1987.2,2385,3866.112,886.855,2511.411,1655.808,1868.1,2729.1,1659.061,3567.6,2000,6500,Thailand
400008 PT021000J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thailand
